2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 52, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 53, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 54, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 55, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 56, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 57, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 58, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 59, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 60, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 61, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 62, global best solution: [-1.6935950245886277E-5, 2.9885201159110314E-5], fitness: 9.718909241174245E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 63, global best solution: [-1.6935950245886277E-5, 2.9885201159110314E-5], fitness: 9.718909241174245E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 64, global best solution: [-1.6935950245886277E-5, 2.9885201159110314E-5], fitness: 9.718909241174245E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 65, global best solution: [-1.6935950245886277E-5, 2.9885201159110314E-5], fitness: 9.718909241174245E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 66, global best solution: [-1.6935950245886277E-5, 2.9885201159110314E-5], fitness: 9.718909241174245E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 67, global best solution: [-1.6935950245886277E-5, 2.9885201159110314E-5], fitness: 9.718909241174245E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 68, global best solution: [8.304540046060707E-6, 1.746398978978978E-6], fitness: 2.400446664241329E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 69, global best solution: [8.304540046060707E-6, 1.746398978978978E-6], fitness: 2.400446664241329E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 70, global best solution: [8.304540046060707E-6, 1.746398978978978E-6], fitness: 2.400446664241329E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 71, global best solution: [8.304540046060707E-6, 1.746398978978978E-6], fitness: 2.400446664241329E-5
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 72, global best solution: [6.2936780538132485E-6, 9.57683241185508E-7], fitness: 1.8007198282266046E-5
